compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
1706-18F9,CC1(CCCF)OC(=S)Nc2ccc(-c3ccc(C#N)[nH]3)cc21,20496889,SD rat,,45.0,26.0,,,0.49,3.52,,2.56,0.87,0.88,,0.93,,4.55,,,,1706,10.1021/bc1001054
1707-18F7a,Cc1c(-c2ccc3ncccc3c2)nnn1-c1cccnc1F,21172734,SD rat,male,230.0,459.0,,,,,,,,,,,,,,,,1707,10.1016/j.bmc.2010.11.048
1709A-18F5,CN(C)c1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cn1,20817524,mouse,,,,0.21,2.44,1.98,,,,,,,1.42,,,,,,1709A,10.1016/j.bmcl.2010.08.016
1710-18F-FPHBF-1,CN(C)c1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cc1,21428407,ddY mouse,,24.0,7.5,-0.2,2.8,3.41,,,,,,,2.74,,,,,,1710,10.1021/jm200057u
1710-18F-FPYBF-1,CN(C)c1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cn1,21428407,ddY mouse,,24.0,7.5,0.21,2.44,1.98,,,,,,,1.42,,,,,,1710,10.1021/jm200057u
1710-18F10,CNc1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cn1,21428407,ddY mouse,,24.0,7.5,0.26,3.15,2.42,8.71,2.88,3.7,,2.24,30.9,1.72,22.5,,2.6,,2.55,1710,10.1021/jm200057u
1710-18F21,CNc1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cc1,21428407,ddY mouse,,24.0,7.5,-0.64,3.87,7.33,,,,,,,3.3,,,,,,1710,10.1021/jm200057u
1712-18F-RR-2,O=C(O[C@H]1CN2CCC1CC2)[C@@](O)(CCCCCF)c1ccccc1,,Fischer rat,female,150.0,8.8,1.99,0.59,0.08,1.52,1.5,0.64,,,,,,,0.88,,,1712,10.1002/(SICI)1099-1344(1998080)41:8<681::AID-JLCR131>3.0.CO;2-Q
1712-18F-RR-FQNPe,O=C(O[C@@H]1CN2CCC1CC2)[C@](O)(CCCCCF)c1ccccc1,,Fischer rat,female,150.0,8.8,1.99,0.59,0.08,1.52,1.5,0.64,,,,0.22,,,0.88,,,1712,10.1002/(SICI)1099-1344(1998080)41:8<681::AID-JLCR131>3.0.CO;2-Q
1712-18F-RS-2,O=C(O[C@H]1CN2CCC1CC2)[C@](O)(CCCCCF)c1ccccc1,,Fischer rat,female,150.0,8.8,0.99,0.57,0.21,0.72,1.46,1.18,,,,,,,,,,1712,10.1002/(SICI)1099-1344(1998080)41:8<681::AID-JLCR131>3.0.CO;2-Q
1712-18F-RS-FQNPe,O=C(O[C@@H]1CN2CCC1CC2)[C@@](O)(CCCCCF)c1ccccc1,,Fischer rat,female,150.0,8.8,0.99,0.57,0.21,0.72,1.46,1.18,,,,1.39,,,0.41,,,1712,10.1002/(SICI)1099-1344(1998080)41:8<681::AID-JLCR131>3.0.CO;2-Q
1713A-18F-FRB-D4,[2H]C([2H])(F)C([2H])([2H])Oc1ccccc1OC(c1ccccc1)C1CNCCO1,15878511,swiss mouse,male,30.8,5.0,-0.26,0.27,0.35,7.35,0.92,1.69,0.44,0.13,27.2,0.54,0.59,,0.19,,0.24,1713A,10.1016/j.nucmedbio.2005.02.005
1713A-18F-FRB,FCCOc1ccccc1OC(c1ccccc1)C1CNCCO1,15878511,swiss mouse,male,30.8,5.0,-0.82,0.26,0.59,8.22,0.73,1.51,0.5,0.12,29.6,0.65,0.59,,0.17,,0.21,1713A,10.1016/j.nucmedbio.2005.02.005
1717-18F-FTFMPP,Fc1cc(N2CCNCC2)cc(C(F)(F)F)c1,9228662,SD rat,,160.0,15000.0,1.68,1.56,0.29,4.04,4.95,3.79,0.23,,,0.25,,,0.54,,,1717,10.1016/s0969-8051(97)00063-2
1721A-18F-FTO,O=C(O)CCSCCCC/C=C\CCCCCCF,20660391,SD rat,female,190.0,28.38,,,,,,,,,,,,,,,,1721A,10.2967/jnumed.109.074245
1721A-18F-FTP,O=C(O)CCSCCCCCCCCCCCCF,20660391,SD rat,female,190.0,28.38,,,,,,,,,,,,,,,,1721A,10.2967/jnumed.109.074245
1727B-18F-GBR13119,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccccc2)cc1,2606712,SD rat,,215.0,150.0,,0.24,,25.9,,1.65,,,,,,,0.18,,,1727B,10.1016/0883-2897(89)90072-X
1729-11C-HC3,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,17303422,rat,,250.0,2000.0,,,,,,,,,,,,,,,,1729,10.1016/j.bmcl.2007.01.105
1729-18F-HC3,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(CF)CCO4)cc3)cc2)C1,17303422,rat,,250.0,2000.0,,,,,,,,,,,,,,,,1729,10.1016/j.bmcl.2007.01.105
1736D-123I-MIBG,N=C(N)NCc1cccc(I)c1,21555377,SD rat,male,375.0,15.0,,,0.19,0.61,2.13,0.54,,0.91,,0.3,,,2.19,,,1736D,10.1161/CIRCIMAGING.110.962126
1736D-LMI1195,N=C(N)NCc1ccc(OCCCF)c(Br)c1,21555377,SD rat,male,375.0,25.0,,,0.11,0.15,1.21,0.68,,0.6,,0.62,,,2.16,,,1736D,10.1161/CIRCIMAGING.110.962126
1738B-18FMaxiPostTM,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,,rat,,,14.5,0.91,0.2,0.08,0.63,,0.32,,,,1.29,,,0.24,,,1738B,10.1002/jlcr.748
1739A-18FFE@CIT,CN1C2CC[C@@H]1C[C@H](c1ccc(I)cc1)[C@@H]2C(=O)OCCF,15529336,SD rat,male,224.0,47.03,1.57,0.72,0.15,3.06,0.86,3.86,0.16,0.49,0.14,0.14,,,0.14,0.21,0.3,1739A,10.1002/syn.20095
1739B-18FMCL-322,CN1C2CCC1C(C(=O)OCCF)C(c1ccc(Br)cc1)C2,17467995,Wistar rat,,122.0,300.0,3.4,1.2,0.04,11.8,1.14,3.1,0.16,0.58,,0.17,,,0.21,0.27,0.54,1739B,10.1016/j.bmc.2007.04.019
1741C-18F-MEM,CC12CC3CC(N)(C1)CC(CF)(C3)C2,9639292,ICR mouse,female,28.0,60.82,1.84,3.67,0.58,3.97,7.38,5.1,1.4,,,0.6,,,1.62,,,1741C,10.1016/S0969-8051(98)00003-1
1743-MFBG,N=C(N)NCc1cccc(F)c1,9234270,BALB/c mouse,male,22.0,,-1.1,0.2,0.6,5.0,6.8,2.6,,4.3,,1.8,,,21.0,,,1743,10.1016/0969-8051(94)90135-X
1743-PFBG,Cc1ccc(CNC(=N)N)cc1,9234270,BALB/c mouse,male,22.0,,0.1,1.1,1.0,7.4,3.7,6.4,,3.6,,1.6,,,4.9,,,1743,10.1016/0969-8051(94)90135-X
1744C-18F1,NC(Cc1ccc(O)c(CCF)c1)C(=O)O,17035015,Fischer rat,,,100.01,-0.41,0.04,0.06,0.07,0.07,0.13,0.07,,0.15,0.76,,,,,0.12,1744C,10.1016/j.bmcl.2006.09.063
1744C-18F2,NC(Cc1ccc(O)c(CCCF)c1)C(=O)O,17035015,Fischer rat,,,100.01,-0.6,0.35,0.64,0.73,0.61,0.83,0.59,,0.62,1.45,,,,,1.56,1744C,10.1016/j.bmcl.2006.09.063
1744C-18F3,COc1ccc(CC(N)C(=O)O)cc1CCF,17035015,Fischer rat,,,100.01,0.44,0.39,0.25,0.36,0.37,0.52,0.42,,0.33,0.22,,,,,1.43,1744C,10.1016/j.bmcl.2006.09.063
1744C-18F4,COc1ccc(CC(N)C(=O)O)cc1CCCF,17035015,Fischer rat,,,100.01,-0.23,0.19,0.24,0.28,0.28,1.21,0.31,,0.26,0.18,,,,,0.56,1744C,10.1016/j.bmcl.2006.09.063
1749B-18FMHMZ,COc1c(OCF)cccc1C(O)C1CCN(CCc2ccc(F)cc2)CC1,19423013,Wistar rat,male,280.0,270.3,-1.42,0.08,0.33,1.62,,1.76,,,,0.06,0.34,,,,,1749B,10.1016/j.nucmedbio.2009.01.012
1750-11C4F-MHPG,N=C(N)NCCc1ccc(F)c(O)c1,23416009,rat,,,,,,,,,,,,,,,,,,,1750,10.1016/j.bmcl.2013.01.106
1750-11CHED,CN[C@@H](C)[C@H](O)c1cccc(O)c1,23416009,rat,,,,,,,,,,,,,,,,,,,1750,10.1016/j.bmcl.2013.01.106
1750-123IMIBG,N=C(N)NCc1cccc(I)c1,23416009,rat,,,,,,,,,,,,,,,,,,,1750,10.1016/j.bmcl.2013.01.106
1750-18F4F-MHPG,N=C(N)NCCc1ccc(F)c(O)c1,23416009,rat,,,,,,,,,,,,,,,,,,,1750,10.1016/j.bmcl.2013.01.106
1755-18FMR18445,COc1ccc2c(c1)nc(N1CCN(Cc3ccc(F)cc3)CC1)c1cccn12,9681144,SD rat,male,265.0,367.0,,,,,,,,,,,,,,,,1755,10.1016/S0968-0896(98)00035-2
1757A-NCQ115,COc1cc(Br)cc(C(=O)NCC2CCCN2Cc2ccc(F)cc2)c1OC,8504293,rat,,,50.0,,,,,,,,,,,,,,,,1757A,10.1016/0969-8051(93)90086-A
1759B-18F-FMISO,COCC(O)Cn1ccnc1[N+](=O)[O-],21531287,mouse,male,,0.01,,,,,,,,,,,,,,,,1759B,10.1016/j.nucmedbio.2010.11.001
1759B-18F-NEFA,O=C(CF)NCCn1ccnc1[N+](=O)[O-],21531287,mouse,male,,0.01,,,,,,,,,,,,,,,,1759B,10.1016/j.nucmedbio.2010.11.001
1759B-18F-NEFT,O=C(CF)OCCn1ccnc1[N+](=O)[O-],21531287,mouse,male,,0.01,,,,,,,,,,,,,,,,1759B,10.1016/j.nucmedbio.2010.11.001
1764-18F-Nifrolidine,FCCCc1cncc(OC[C@H]2CCCN2)c1,15632043,SD rat,male,225.0,100.01,0.51,0.23,0.14,,,,,,,,,,,,,1764,
1766-18FFHBG,Nc1nc2c(ncn2CCC(CO)CF)c(=O)[nH]1,21958846,Nu/nu mouse,,26.0,473.02,,,,,,,,,,,,,,,,1766,10.1016/j.nucmedbio.2011.07.009
1766-M-Me-FHBT,Cc1c(CC(CO)CF)n(C)c(=O)[nH]c1=O,21958846,Nu/nu mouse,,26.0,608.17,,,,,,,,,,,,,,,,1766,10.1016/j.nucmedbio.2011.07.009
1768C-Methylspiroperidol,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,3712039,Swiss Albino mouse,female,25.0,56.0,1.71,2.5,0.45,2.9,1.9,3.4,,1.6,2.5,,,,0.61,,,1768C,
1769A-18FNS10743,Fc1ccc(-c2nnc(N3CCN4CCC3CC4)o2)cc1,19137292,CD-1 mouse,female,23.0,5.4,0.56,1.73,0.99,7.04,2.47,4.63,1.01,4.8,4.3,1.26,10.8,,1.62,,2.77,1769A,10.1007/s00259-008-1031-7
1770-18FNS14490,FCCn1ccc2ccc(-c3nnc(N4CCN5CCC4CC5)o3)cc21,23507153,CD-1 mouse,female,23.0,5.4,-1.36,0.18,0.7,7.79,4.88,10.4,1.0,7.46,11.67,2.09,8.13,,1.84,,3.12,1770,10.1016/j.bmc.2013.02.018
1771-18F1,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(CCCCCF)cc1,18520068,ddY mouse,male,35.0,27.0,-0.82,0.3,0.68,11.3,1.35,2.38,0.8,0.89,5.76,2.53,,,1.44,,0.85,1771,10.1248/bpb.31.1274
1775-18F12,CCN(CC)C(=O)Cc1c(-c2ccc(OCCCF)cc2)nc2ccc(Cl)cn12,18557607,SD rat,male,400.0,27.03,,,,0.61,4.1,3.7,,4.5,,,,,6.4,,,1775,10.1021/jm7014556
1775-18F15,CCN(CC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nn2c(C)cc(C)nc12,18557607,SD rat,male,400.0,27.03,,,,0.4,5.7,3.5,,4.5,,,,,6.4,,,1775,10.1021/jm7014556
1775-18F18,CCN(CC)C(=O)Cc1c(-c2ccc(OCCCF)cc2)nn2c(C)cc(C)nc12,18557607,SD rat,male,400.0,27.03,,,,0.69,7.1,4.7,,5.1,,,,,8.7,,,1775,10.1021/jm7014556
1775-18F8,CCN(CC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nc2ccc(Cl)cn12,18557607,SD rat,male,400.0,27.03,,,,0.35,11.6,2.7,,3.4,,,,,4.6,,,1775,10.1021/jm7014556
1781-18FPF-9811,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(OCCF)cn3)c2)CC1,22571907,SD rat,male,325.0,1546.2,2.32,0.64,0.06,17.35,,,,,,0.13,,,,,,1781,10.1016/j.nucmedbio.2012.03.011
1783-18F-PFH,O=C(O)CNC(=O)c1ccc(F)cc1,21149490,SD rat,female,187.5,100.01,,,0.31,0.09,0.02,0.58,,0.01,0.6,,0.24,,0.01,,,1783,10.2967/jnumed.110.075895
1797A-18F4,FCCCCc1ccc(CCOc2ncnc3ccccc23)cc1,17604167,SD rat,,,15.0,,,,,,,,,,,,,,,,1797A,10.1016/j.bmcl.2007.06.043
1799A-18F10,Cc1c(SCc2ccc(CCCCF)cc2)oc2ccccc2c1=O,17696417,SD rat,male,350.0,1000.0,,,,,,,,,,,,,,,,1799A,10.1021/jm0701831
1799B-18F-RP1003,FCCCCc1ccc(CCOc2ncnc3ccccc23)cc1,18716773,SD rat,male,400.0,14.98,,,0.08,0.77,0.47,1.2,0.1,0.11,,0.46,,,2.68,,,1799B,10.1007/s00259-008-0909-8
1799B-18F-RP1004,CC(C)(C)n1ncc(OCc2ccc(CCCCF)cc2)c(Cl)c1=O,18716773,SD rat,male,400.0,14.98,,,0.08,1.29,0.18,1.82,0.09,0.26,,0.78,,,2.67,,,1799B,10.1007/s00259-008-0909-8
1799B-18F-RP1005,Cc1c(SCc2ccc(CCCCF)cc2)oc2ccccc2c1=O,18716773,SD rat,male,400.0,14.98,,,0.09,1.03,0.19,1.3,0.09,0.25,,0.4,,,1.81,,,1799B,10.1007/s00259-008-0909-8
1801B-18FFM-SA4503,COc1cc(CCN2CCN(CCCc3ccccc3)CC2)ccc1OCF,17591557,ddY mouse,male,28.0,5.95,2.74,3.87,0.25,22.2,10.26,8.3,1.11,7.95,9.89,2.5,,,1.61,,10.68,1801B,10.1016/j.nucmedbio.2007.03.009
1804-18FSAV03M,COC(=O)[C@H](NS(=O)(=O)c1ccc(C#CCCCCF)cc1)C(C)C,12623110,ddY mouse,female,19.0,62.44,,,,,,,,,,,,,,,,1804,10.1016/S0969-8051(02)00393-1
1804-18SAV03,CC(C)[C@@H](NS(=O)(=O)c1ccc(C#CCCCCF)cc1)C(=O)O,12623110,ddY mouse,female,19.0,62.44,,,,,,,,,,,,,,,,1804,10.1016/S0969-8051(02)00393-1
1806-18F-SC58125,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,11801714,SD rat,female,175.0,80.0,1.02,0.25,0.09,1.47,0.41,0.46,0.32,0.21,0.58,0.17,0.17,,0.4,,,1806,
1806-18F-SC63217,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,11801714,SD rat,,175.0,80.0,0.98,0.08,0.03,0.24,0.18,0.17,0.12,,3.67,0.23,0.09,,0.12,,,1806,
1812-18FSpiro-FBT,O[C@@H]1CCN(Cc2ccc(F)cc2)C[C@H]1N1CCC2(C=Cc3ccccc32)CC1,10100218,SD rat,male,250.0,70000.0,1.34,0.19,0.05,,,,,,,,,,,,,1812,10.1016/S0969-8051(98)00090-0
1814-18FSR144385,O=C(NN1CCCCC1)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1CF,11150708,CD-1 mouse,male,27.5,145.0,,2.66,,,,,,,,,,,,,,1814,10.1016/S0969-8051(00)00152-9
1814-18FSR147963,O=C(NN1CCOCC1)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1CF,11150708,CD-1 mouse,male,27.5,145.0,,3.98,,,,,,,,,,,,,,1814,10.1016/S0969-8051(00)00152-9
1816-FTP,O=C(O)CCSCCCCCCCCCCCCS(=O)(=O)C(F)(F)F,10832078,SD rat,female,202.5,30.0,,,,,,,,,,,,,,,,1816,10.1016/S0969-8051(99)00101-8
1820C-18FFTPP,Fc1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,20563755,SD rat,male,300.0,60.0,-0.69,0.01,0.02,0.17,0.38,1.75,0.26,0.33,0.77,0.39,0.69,,1.57,,,1820C,10.1007/s11307-010-0349-2
1820E-18-FLT,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,,,,,,-1.76,0.06,0.35,0.39,0.38,0.76,0.34,0.95,0.57,1.1,0.27,,,,0.1,1820E,
1821A-18FCP99219,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,9004287,SD rat,male,200.0,50.0,,,0.09,0.34,0.16,0.31,0.09,0.1,1.19,,0.25,,0.11,,,1821A,10.1016/S0969-8051(96)00153-9
1825-18FWC-59,COc1ccc(C)cc1NC(=O)OC1CC2CCCC(C1)N2Cc1ccc(CCF)cc1,19119012,BALB/c mouse,female,,20.0,0.51,1.55,0.93,23.35,8.73,10.38,1.92,,,4.87,,,2.13,8.49,,1825,10.1016/j.bmc.2008.12.025
1826-11CWC-98,COc1ccc(CN2C(=O)C(=O)c3cc(S(=O)(=O)N4CCC[C@H]4COc4ccccc4)ccc32)cc1,19647171,SD rat,male,222.0,31.0,,,,,,,,,,,,,,,,1826,10.1016/j.nucmedbio.2009.03.008
1826-18FWC-IV-3,O=C1C(=O)N(Cc2ccc(OCCF)cc2)c2ccc(S(=O)(=O)N3CC[C@H]3COc3ccccc3)cc21,19647171,SD rat,male,222.0,38.0,-1.21,0.03,0.1,0.28,0.12,0.84,0.07,0.11,,0.12,,,0.09,0.09,,1826,10.1016/j.nucmedbio.2009.03.008
1827A-18F7a,FCCCC1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,19791807,CD-1 mouse,female,24.0,13.5,1.5,2.33,0.52,3.24,4.64,5.14,0.97,5.56,6.59,3.48,3.17,,2.46,,8.92,1827A,10.1021/jm900909e
41304-11C1,Cc1cc(Cc2ccc(NC(=O)CN3CCCC3)c(C)c2)ccc1NC(=O)CN1CCCC1,23712919,SD rat,male,250.0,2703.0,,,,,,,,,,,,,,,,41304,10.1002/cmdc.201300167
41332-18F38,CC(C)NC(=O)c1nn(-c2ccc(OCCF)cc2)c(=O)c2c(N)scc12,24387030,mouse,,,,,2.35,,,,,,,,,,,,,,41332,10.1517/13543776.2014.871526
41365-11CPT70,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,26227776,Swiss Albino mouse,male,30.0,100.0,,,0.55,14.09,1.35,0.31,,0.21,,,,,,,,41365,10.1016/j.bmcl.2015.07.019
41373-18FCJ042794,C[C@H](NC(=O)c1cc(Cl)ccc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,28377057,Nu/nu mouse,,,40.5,-2.68,0.31,4.52,6.71,2.4,6.71,0.41,0.76,37.5,0.35,1.91,,1.58,1.82,1.03,41373,10.1016/j.bmcl.2017.03.078
41374-18FBIBD124,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cn1,36795539,ICR mouse,male,19.0,100.01,0.33,0.61,0.44,11.75,0.81,6.63,0.42,0.55,11.67,0.5,2.89,,0.64,,0.71,41374,10.1021/acschemneuro.3c00025
41374-18FBIBD127,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cn1,36795539,ICR mouse,male,19.0,100.01,0.44,0.53,0.34,10.76,1.27,4.31,0.3,1.68,7.91,0.39,2.41,,0.59,,0.7,41374,10.1021/acschemneuro.3c00025
41376-18FFCH,C[N+](C)(CF)CCO,28874105,Wistar rat,female,225.0,135.15,,,,,,,,,,,,,,,,41376,10.1177/1933719117728799
41392-11C1,O=C(NC1CCCCC1)Oc1ccc(O)c(-c2ccccc2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C2,NC(=O)c1cccc(C2=CCCC(OC(=O)NC3CCCCC3)=C2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C3,O=C(NC1CCCC1)Oc1ccc(O)c(-c2ccccc2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C4,O=C(NC1CCC1)Oc1ccc(O)c(-c2ccccc2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C5,CCCCCCNC(=O)Oc1ccc(O)c(-c2ccccc2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C6,O=C(NC1CCCCC1)Oc1cccc(C2=NCCO2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C7,O=C(NC1CCCC1)Oc1cccc(C2=NCCO2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41392-11C8,CCCCCCNC(=O)Oc1cccc(C2=NCCO2)c1,23214511,SD rat,male,325.0,1216.35,,,,,,,,,,,,,,,,41392,10.1021/jm301492y
41429-18F5a,COc1ccc(CC([NH3+])[B-](F)(F)F)cc1,35473312,C57BL/6 mouse,,27.5,18.5,-2.27,0.32,3.1,3.57,4.32,6.08,3.45,3.15,4.15,2.27,2.83,,3.13,,,41429,10.1021/acs.molpharmaceut.2c00036
41441-2-18F,Nc1nc(F)nc2c1ncn2[C@H]1O[C@@H](CO)[C@H](O)[C@H]1O,23852402,CD-1 mouse,,240.0,229.76,0.02,1.48,1.45,3.33,2.3,5.51,1.71,5.27,2.92,,,,2.3,,,41441,10.1007/s11307-013-0659-2
41458-18F11,CN1C(=O)CCC1C(=O)NCc1cccc(C(F)(F)F)c1Cl,36126443,SD rat,male,250.0,675.75,-0.59,0.22,0.39,2.2,1.07,3.39,0.45,0.65,,0.31,,,0.81,,,41458,10.1016/j.bmc.2022.116996
41460-11C4,Cc1ccc(C(=O)N(C)c2nc(-c3cc(NC(C)C)ncn3)cs2)cc1,23194448,ddY mouse,male,35.0,129.74,3.03,1.04,0.05,0.51,0.2,0.22,0.07,0.02,11.27,,,,0.06,,0.03,41460,10.1021/jm301597s
41490-R-18FTHK5105,CN(C)c1ccc(-c2ccc3cc(OC[C@@H](O)CF)ccc3n2)cc1,26194011,ICR mouse,male,21.0,550.06,0.67,1.13,0.58,5.14,,1.16,,,17.7,1.07,,,,,,41490,10.1007/s11307-015-0879-8
41490-S-18FTHK5105,CN(C)c1ccc(-c2ccc3cc(OC[C@H](O)CF)ccc3n2)cc1,26194011,ICR mouse,male,21.0,550.06,1.07,0.64,0.22,3.32,,0.62,,,25.3,0.3,,,,,,41490,10.1007/s11307-015-0879-8
41500-18FZ02035,COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCC(C3CCN(CCF)CC3)CC2)c(C)c1,27390067,NOD-SCID mouse,male,20.0,40.5,-0.74,0.8,1.67,10.1,2.01,4.71,1.17,3.1,8.84,4.63,4.75,,1.67,0.6,7.58,41500,10.1016/j.bmcl.2016.06.066
41500-18FZ02165,COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCN(C3CCN(CCF)CC3)CC2)c(C)c1,27390067,NOD-SCID mouse,male,20.0,40.5,-0.42,1.06,1.62,8.17,2.84,4.41,1.19,5.64,10.0,2.56,3.29,,1.65,0.29,2.67,41500,10.1016/j.bmcl.2016.06.066
41523-125IDRM106,Ic1ccc2nc(-c3ccc(-c4cc[nH]n4)cc3)cn2c1,24931274,SD rat,male,350.0,50.01,-1.39,0.02,0.08,0.15,0.07,0.18,0.01,0.04,,,,,0.04,,,41523,10.1016/j.bmc.2014.05.043
41526-11C5i,COc1ccc(-c2cc(C(N)=O)ncc2OCc2ccn(C)n2)c(F)c1,32960052,ddY mouse,male,37.7,67.6,-0.32,0.55,0.76,4.5,1.32,2.06,0.49,1.84,3.18,,2.95,,0.86,,5.87,41526,10.1021/acs.jmedchem.9b01991
41535-11CLAAM,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,24935116,swiss mouse,male,37.5,115.0,-0.03,1.07,1.1,8.55,19.12,6.78,1.41,5.75,6.68,2.01,3.36,,1.85,3.62,5.44,41535,10.1016/j.apradiso.2014.05.019
41545-18F1,CN(C)Cc1cc(OCCCF)ccc1Sc1ccccc1N,29644713,rat,,,20.0,1.69,0.54,0.1,0.22,0.85,1.29,0.07,0.46,,0.16,,,0.09,,0.19,41545,10.1002/jlcr.3626
41561-11CITMM,COc1ccc(C(=O)N(C)c2nc(-c3cc(NC(C)C)ncn3)cs2)cc1,23265669,ddY mouse,male,28.0,270.3,0.99,1.88,0.7,4.15,1.42,2.66,0.66,2.25,3.36,0.92,1.63,,0.95,,6.85,41561,10.1016/j.nucmedbio.2012.11.008
41578-18F7a,CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1NC(=O)N(CCCCCCF)N=O,32738964,ddY mouse,male,25.0,5.0,-0.76,0.59,1.26,2.53,1.36,4.85,,1.18,4.8,13.91,1.26,,1.38,,1.35,41578,10.1016/j.bmcl.2020.127400
41578-18F7b,CO[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1NC(=O)N(CCCCCCF)N=O,32738964,ddY mouse,male,25.0,5.0,-1.33,0.24,0.91,2.58,1.02,4.65,,0.89,3.39,4.08,0.56,,0.91,,1.16,41578,10.1016/j.bmcl.2020.127400
41582-18FsFMIT,O=C(O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1OCCF,24842616,ddY mouse,male,22.0,5.0,,,2.27,2.55,1.84,2.16,,1.61,31.79,1.8,2.07,,2.1,,1.45,41582,10.1016/j.bmc.2014.04.059
41583-18F-FBEM,O=C(NCCN1C(=O)C=CC1=O)c1ccc(F)cc1,23740811,C57BL/6 mouse,male,,,,,,,,,,,,,,,,,,41583,10.1002/cmmi.1540
41588-18FEAEF,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)c1cn(CCOCCOCCF)nn1,27696769,ICR mouse,female,19.0,20.0,,,3.01,0.3,0.73,0.66,0.68,3.7,,0.78,1.38,5.89,0.43,,,41588,10.1111/cbdd.12878
41589-18FmFBG,N=C(N)NCc1cccc(F)c1,34714061,SD rat,female,95.0,229.8,,,,,,,,,,,,,,,,41589,10.1021/acschemneuro.1c00575
41609-11CCBA,COc1ccccc1CNC(=N)/C=C\c1ccccc1,30375667,ddY mouse,,40.0,200.0,,,,,,,,,,,,,,,,41609,10.1002/jlcr.3691
41609-11CNBA,COc1ccccc1CNC(=N)c1ccc2ccccc2c1,30375667,ddY mouse,,40.0,200.0,-0.32,0.58,0.8,,,,,,,,,,,,,41609,10.1002/jlcr.3691
41609-11CQBA,COc1ccccc1CNC(=N)c1cnc2ccccc2c1,30375667,ddY mouse,,40.0,200.0,-0.24,0.39,0.5,,,,,,,,,,,,,41609,10.1002/jlcr.3691
